MacroPlot Name,Monitoring Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPO 10,Pre,10/12/1992 12:00:00 AM,12,2,21,,3.8,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,13,2,21,,4.2,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,14,2,21,,8.2,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,15,2,21,,4.2,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 10,Pre,10/12/1992 12:00:00 AM,16,2,21,,3.8,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 06,Pre,10/14/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 06,Pre,10/14/1992 12:00:00 AM,1,1,0,,5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 06,Pre,10/14/1992 12:00:00 AM,2,1,0,,6.1,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 06,Pre,10/14/1992 12:00:00 AM,3,1,0,,6.1,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 06,Pre,10/14/1992 12:00:00 AM,4,1,0,,5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 08,01Post,10/20/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 08,01Post,10/20/1992 12:00:00 AM,1,1,2,,7,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 08,01Post,10/20/1992 12:00:00 AM,2,1,2,,7,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 08,01Post,10/20/1992 12:00:00 AM,3,2,2,,6.5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 08,01Post,10/20/1992 12:00:00 AM,4,2,2,,6.5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 09,01Post,11/9/1992 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 11,Pre,5/14/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 11,Pre,5/14/1993 12:00:00 AM,1,1,6,,3.7,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 11,Pre,5/14/1993 12:00:00 AM,2,1,6,,4,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPO 11,Pre,5/14/1993 12:00:00 AM,3,2,2,,5.3,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 11,Pre,5/14/1993 12:00:00 AM,4,2,2,,5.8,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 11,Pre,5/14/1993 12:00:00 AM,5,2,2,,3.8,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 11,Pre,5/14/1993 12:00:00 AM,6,2,2,,3.7,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 11,Pre,5/14/1993 12:00:00 AM,7,2,2,,5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 10,01Post,5/28/1993 12:00:00 AM,1,1,23,,3.5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,2,2,21,,4,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,3,2,21,,5.5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,4,2,21,,6,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,5,2,21,,9,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 06,01Post,5/28/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 06,01Post,5/28/1993 12:00:00 AM,1,1,0,,3.5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 12,Pre,6/3/1993 12:00:00 AM,1,1,0,,5.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,2,2,0,,3.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,3,2,0,,3,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,4,2,0,,3,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,5,2,0,,12,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,6,2,0,,5.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,7,2,0,,3.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 12,Pre,6/3/1993 12:00:00 AM,8,2,0,,3.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 01,01Year1,6/11/1993 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 01,01Year1,6/11/1993 12:00:00 AM,1,1,2,,7.5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 01,01Year1,6/11/1993 12:00:00 AM,2,1,2,,7.5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 02,01Year1,7/9/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 02,01Year1,7/9/1993 12:00:00 AM,1,1,2,,5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 02,01Year1,7/9/1993 12:00:00 AM,2,1,2,,5,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 13,Pre,7/31/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 14,Pre,8/1/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 14,Pre,8/1/1993 12:00:00 AM,1,1,1,,3.6,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPO 14,Pre,8/1/1993 12:00:00 AM,2,1,1,,3.2,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPO 07,01Year1,9/14/1993 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 14,01Post,9/30/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 13,01Post,10/1/1993 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 09,01Year1,10/7/1993 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 06,01Year1,5/5/1994 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 15,Pre,5/24/1994 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 15,Pre,5/24/1994 12:00:00 AM,1,1,7,,10,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,2,1,7,,9.3,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,3,1,7,,6.2,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,4,2,5,,4,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,5,2,5,,4,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,6,2,5,,5.2,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,7,2,5,,7.6,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,8,2,5,,4.3,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,9,3,16,,14.2,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel3_ALL,,,,,,,,,,
PIPO 15,Pre,5/24/1994 12:00:00 AM,10,4,7,,8.2,4,PIPO,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPO 01,01Year2,6/1/1994 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 01,01Year2,6/1/1994 12:00:00 AM,1,1,2,,11,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 01,01Year2,6/1/1994 12:00:00 AM,2,1,2,,11,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 02,01Year2,6/9/1994 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 02,01Year2,6/9/1994 12:00:00 AM,1,1,2,,5.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPO 02,01Year2,6/9/1994 12:00:00 AM,2,1,2,,5.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPO 05,01Post,6/28/1994 12:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
PIPO 13,01Year1,7/11/1994 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 14,01Year1,8/1/1994 12:00:00 AM,1,1,4,,4.5,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 07,01Year2,9/21/1994 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
PIPO 07,01Year2,9/21/1994 12:00:00 AM,1,1,1,,6.3,3,PIPO,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPO 08,01Year2,9/21/1994 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
