MacroPlot.Name,Monitoring.Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
SHOS 01,01Year5,5/18/2004 12:00:00 AM,30,3,45,False,0.2,0.3,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,31,4,1,False,0.9,0.2,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,32,4,5,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,33,4,10,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,34,4,15,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,35,4,20,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,36,4,25,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,37,4,30,False,0.5,0.8,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,38,4,35,False,0.4,0.3,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,39,4,40,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,40,4,45,False,1.4,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,,,,,,,,,,,,,4,,,,,,,True,
SHOS 01,Pre,4/14/1999 12:00:00 AM,1,1,1,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,2,1,5,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,3,1,10,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,4,1,15,False,0.4,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,5,1,20,False,0.4,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
