MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPN 01,01Year5,7/9/1997 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 01,01Year5,7/9/1997 12:00:00 AM,1,1,14,,5.7,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPN 01,01Year5,7/9/1997 12:00:00 AM,2,1,14,,5.4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPN 01,01Year5,7/9/1997 12:00:00 AM,3,2,4,,4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPN 01,01Year5,7/9/1997 12:00:00 AM,4,3,12,,4.4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
PIPN 01,01Year5,7/9/1997 12:00:00 AM,5,4,14,,3.7,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 01,01Year5,7/9/1997 12:00:00 AM,6,4,14,,5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 01,02Post,11/13/2007 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 01,02Post,11/13/2007 12:00:00 AM,1,1,14,,5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPN 01,02Post,11/13/2007 12:00:00 AM,2,2,4,,5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPN 01,02Post,11/13/2007 12:00:00 AM,3,3,14,,4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 01,02Post,11/13/2007 12:00:00 AM,4,3,14,,9,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 01,02Year1,7/17/2008 4:14:24 PM,,,,,,,,,,,,4,50,,,,,,,True,
PIPN 01,02Year1,7/17/2008 4:14:24 PM,-2147483648,1,14,,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year1,7/17/2008 4:14:24 PM,-2147483647,2,4,,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year1,7/17/2008 4:14:24 PM,-2147483646,4,14,,6,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year10,8/4/2017 12:46:45 PM,,,,,,,,,,,,4,50,Brannfors; McClure,Brannfors,,,,,True,
PIPN 01,02Year10,8/4/2017 12:46:45 PM,-2147483648,1,14,1,5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year10,8/4/2017 12:46:45 PM,-2147483647,2,4,2,4.5,4,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year10,8/4/2017 12:46:45 PM,-2147483646,3,12,3,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year10,8/4/2017 12:46:45 PM,-2147483645,4,14,4,6,4,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year2,9/2/2009 2:57:44 PM,,,,,,,,,,,,4,50,,,,,,,True,
PIPN 01,02Year2,9/2/2009 2:57:44 PM,-2147483648,1,14,,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year2,9/2/2009 2:57:44 PM,-2147483647,2,4,,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year2,9/2/2009 2:57:44 PM,-2147483646,4,14,,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year5,7/30/2012 1:57:12 PM,,,,,,,,,,,,4,50,,,,,,,True,
PIPN 01,02Year5,7/30/2012 1:57:12 PM,-2147483648,1,14,,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year5,7/30/2012 1:57:12 PM,-2147483647,2,4,,5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,02Year5,7/30/2012 1:57:12 PM,-2147483646,4,14,,6,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Post,10/17/2019 4:13:46 PM,,,,,,,,,,,,4,50,RONSANI; KLEIN,BRANNFORS,,,,,True,
PIPN 01,03Post,10/17/2019 4:13:46 PM,-2147483648,1,14,1,3,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Post,10/17/2019 4:13:46 PM,-2147483647,1,14,2,5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Post,10/17/2019 4:13:46 PM,-2147483646,2,4,3,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Post,10/17/2019 4:13:46 PM,-2147483645,3,12,4,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Post,10/17/2019 4:13:46 PM,-2147483644,4,14,5,6,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Post,10/17/2019 4:13:46 PM,-2147483643,4,14,6,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year1,8/18/2020 11:38:00 AM,,,,,,,,,,,,4,50,BRANNFORS; KNAUF,LAKIN,,,,,True,
PIPN 01,03Year1,8/18/2020 11:38:00 AM,-2147483648,1,14,1,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year1,8/18/2020 11:38:00 AM,-2147483647,1,14,2,4,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year1,8/18/2020 11:38:00 AM,-2147483646,2,4,3,5,4,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year1,8/18/2020 11:38:00 AM,-2147483645,3,12,4,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year1,8/18/2020 11:38:00 AM,-2147483644,4,14,5,6,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year1,8/18/2020 11:38:00 AM,-2147483643,4,14,6,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year2,7/14/2021 8:36:53 PM,,,,,,,,,,,,4,50,Lakin; Muscettola,Lakin,,,,,True,
PIPN 01,03Year2,7/14/2021 8:36:53 PM,1,1,14,1,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year2,7/14/2021 8:36:53 PM,2,2,4,2,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year2,7/14/2021 8:36:53 PM,3,3,12,3,4,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year2,7/14/2021 8:36:53 PM,4,4,14,4,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,03Year2,7/14/2021 8:36:53 PM,5,4,14,5,6,3,PIPN,,,,,,,,,,,,,,
PIPN 01,Pre,7/6/1992 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 01,Pre,7/6/1992 12:00:00 AM,1,1,14,,4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPN 01,Pre,7/6/1992 12:00:00 AM,2,1,14,,18,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPN 01,Pre,7/6/1992 12:00:00 AM,3,2,4,,3.5,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
PIPN 01,Pre,7/6/1992 12:00:00 AM,4,3,12,,5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
PIPN 01,Pre,7/6/1992 12:00:00 AM,5,4,14,,4,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 01,Pre,7/6/1992 12:00:00 AM,6,4,14,,7,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 13,01Post,10/20/2001 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 13,01Year1,6/20/2002 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 13,01Year10,5/28/2011 5:21:09 PM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 13,01Year2,7/6/2003 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 13,01Year5,8/7/2006 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 13,02Post,7/7/2014 4:32:00 PM,,,,,,,,,,,,4,50,Byrne; Ali,Moran,,,,,True,
PIPN 13,02Post,7/7/2014 4:32:00 PM,-2147483648,1,6,1,8,3,PIPN,,,,,,,,,,,,,,
PIPN 13,02Year1,6/23/2015 8:29:26 PM,,,,,,,,,,,,4,50,HAMBY; BRANNFORS,Hamby,,,,,True,
PIPN 13,02Year1,6/23/2015 8:29:26 PM,-2147483648,1,6,1,7,3,PIPN,,,,,,,,,,,,,,
PIPN 13,02Year2,6/17/2016 1:35:31 PM,,,,,,,,,,,,4,50,REID; BRANNFORS,Hamby,,,,,True,
PIPN 13,02Year2,6/17/2016 1:35:31 PM,-2147483648,1,6,1,7.5,3,PIPN,,,,,,,,,,,,,,
PIPN 13,02Year5,7/25/2019 12:49:02 PM,,,,,,,,,,,,4,50,BANWELL; RIOS,,,,,,True,
PIPN 13,02Year5,7/25/2019 12:49:02 PM,-2147483648,1,6,1,8,3,PIPN,,,,,,,,,,,,,,
PIPN 13,Pre,6/23/2001 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 13,Pre,6/23/2001 12:00:00 AM,1,1,12,,3.1,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
PIPN 07,01Post,5/18/1999 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,01Year1,7/10/1999 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,01Year2,6/24/2000 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,01Year5,6/19/2003 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,02Post,10/20/2005 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,02Year1,7/5/2006 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,02Year2,7/19/2007 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,03Post,10/3/2007 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 07,03Year1,7/12/2008 2:39:13 PM,,,,,,,,,,,,4,50,,,,,,,True,
PIPN 07,03Year10,6/8/2017 12:47:37 PM,,,,,,,,,,,,4,50,TALBERT,TALBERT,,,,,True,
PIPN 07,03Year2,6/30/2009 5:40:07 PM,,,,,,,,,,,,4,50,,,,,,,True,
PIPN 07,03Year5,7/11/2012 3:27:48 PM,,,,,,,,,,,,4,50,,,,,,,True,
PIPN 07,04Post,9/5/2018 2:36:42 PM,,,,,,,,,,,,4,50, MURDOCH; VAUGHAN,Marshall,,,,,True,
PIPN 07,04Post,9/5/2018 2:36:42 PM,-2147483648,2,10,1,3,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Post,9/5/2018 2:36:42 PM,-2147483647,2,10,2,3,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Post,9/5/2018 2:36:42 PM,-2147483646,2,10,3,5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Post,9/5/2018 2:36:42 PM,-2147483645,2,10,4,12.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Post,9/5/2018 2:36:42 PM,-2147483644,2,10,5,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year1,7/18/2019 10:08:36 AM,,,,,,,,,,,,4,50,BRANNFORS; RIOS,RIOS,,,,,True,
PIPN 07,04Year1,7/18/2019 10:08:36 AM,-2147483648,2,10,1,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year1,7/18/2019 10:08:36 AM,-2147483647,2,10,2,4,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year1,7/18/2019 10:08:36 AM,-2147483646,2,10,3,11.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year2,7/13/2020 11:36:26 AM,,,,,,,,,,,,4,50,LAKIN,LAKIN,,,,,True,
PIPN 07,04Year2,7/13/2020 11:36:26 AM,-2147483648,2,10,1,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year2,7/13/2020 11:36:26 AM,-2147483647,2,10,2,4,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year2,7/13/2020 11:36:26 AM,-2147483646,2,10,3,11.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year5,6/27/2023 1:24:43 PM,,,,,,,,,,,,4,50,Brey; Christensen,Christensen,,,,,True,
PIPN 07,04Year5,6/27/2023 1:24:43 PM,1,1,20,1,3,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year5,6/27/2023 1:24:43 PM,2,1,20,2,3,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year5,6/27/2023 1:24:43 PM,3,2,10,3,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,04Year5,6/27/2023 1:24:43 PM,4,2,10,4,8.5,3,PIPN,,,,,,,,,,,,,,
PIPN 07,Pre,9/23/1998 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,01Post,10/29/2001 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,01Year1,8/18/2002 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,01Year1,8/18/2002 12:00:00 AM,1,1,10,,3.1,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483648,2,1,,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483647,2,1,,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483646,2,1,,6,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483645,2,1,,4,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483644,2,1,,19,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483643,2,1,,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483642,3,3,,8.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483641,3,3,,11.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year10,5/28/2011 3:35:58 PM,-2147483640,4,1,,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,01Year2,7/6/2003 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,01Year2,7/6/2003 12:00:00 AM,1,1,10,,3.1,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
PIPN 08,01Year2,7/6/2003 12:00:00 AM,2,2,1,,4.5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 08,01Year2,7/6/2003 12:00:00 AM,3,2,1,,4,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel4_ALL,,,,,,,,,,
PIPN 08,01Year5,8/10/2006 12:00:00 AM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,01Year5,8/10/2006 12:00:00 AM,1,1,10,,3.2,4,PIPN,From FMH DFROTTEN 1056,, Rotten, fuel1_ALL,,,,,,,,,,
PIPN 08,01Year5,8/10/2006 12:00:00 AM,2,2,1,,4.5,3,PIPN,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
PIPN 08,02Post,10/3/2011 12:54:35 PM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,02Post,10/3/2011 12:54:35 PM,-2147483648,2,1,,14,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Post,10/3/2011 12:54:35 PM,-2147483647,3,3,,13.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Post,10/3/2011 12:54:35 PM,-2147483646,3,3,,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Year1,6/25/2012 3:21:58 PM,,,,,,,,,,,,4,50.000000076,,,,,,,True,
PIPN 08,02Year1,6/25/2012 3:21:58 PM,-2147483648,1,10,,13,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Year1,6/25/2012 3:21:58 PM,-2147483647,1,10,,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Year1,6/25/2012 3:21:58 PM,-2147483646,1,10,,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Year1,6/25/2012 3:21:58 PM,-2147483645,3,3,,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Year2,7/10/2013 9:56:51 AM,,,,,,,,,,,,4,50,Brannfors; Byrne,Jenkins,,,,,True,
PIPN 08,02Year2,7/10/2013 9:56:51 AM,-2147483648,1,10,,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 08,02Year2,7/10/2013 9:56:51 AM,-2147483647,2,1,,13,3,PIPN,,,,,,,,,,,,,,
PIPN 08,02Year2,7/10/2013 9:56:51 AM,-2147483646,3,3,,14,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Post,7/9/2014 4:06:43 PM,,,,,,,,,,,,4,50,PAGE; ALI,Moran,,,,,True,
PIPN 08,03Post,7/9/2014 4:06:43 PM,-2147483648,3,3,1,13,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Post,7/9/2014 4:06:43 PM,-2147483647,2,1,2,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Post,7/9/2014 4:06:43 PM,-2147483646,2,1,3,5,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Post,7/9/2014 4:06:43 PM,-2147483645,2,1,4,14,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Post,7/9/2014 4:06:43 PM,-2147483644,1,10,5,6,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year1,6/22/2015 12:00:14 PM,,,,,,,,,,,,4,50,BRANNFORS,HAMBY,,,,,True,
PIPN 08,03Year1,6/22/2015 12:00:14 PM,-2147483648,1,10,1,6,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year1,6/22/2015 12:00:14 PM,-2147483647,2,1,2,15,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year1,6/22/2015 12:00:14 PM,-2147483646,2,1,3,14,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year1,6/22/2015 12:00:14 PM,-2147483645,3,3,4,14,4,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year1,6/22/2015 12:00:14 PM,-2147483644,4,1,5,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year1,6/22/2015 12:00:14 PM,-2147483643,4,1,6,12.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,,,,,,,,,,,,4,50,TALBERT;  DODSON,Hamby,,,,,True,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483648,4,1,1,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483647,4,1,2,12,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483646,4,1,3,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483645,4,1,4,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483644,3,3,5,15,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483643,3,3,6,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483642,2,1,7,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483641,2,1,8,16,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483640,1,10,9,11,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year2,6/17/2016 1:36:57 PM,-2147483639,1,10,10,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year5,8/5/2019 12:41:49 PM,,,,,,,,,,,,4,50,RONSANI;  KLEIN,RIOS,,,,,True,
PIPN 08,03Year5,8/5/2019 12:41:49 PM,-2147483648,1,10,1,11,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year5,8/5/2019 12:41:49 PM,-2147483647,1,10,2,6,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year5,8/5/2019 12:41:49 PM,-2147483646,2,1,3,15.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,03Year5,8/5/2019 12:41:49 PM,-2147483645,2,1,4,14.5,3,PIPN,,,,,,,,,,,,,,
