MacroPlot Name,Monitoring Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,,,,,,,,,,,,,4,Tumicki; Brannfors,Tumicki,,,,,True,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,1,1,1,False,1.5,1.1,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,2,1,5,False,0.7,0.6,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,3,1,10,False,1.5,0.2,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,4,1,15,False,0.9,0.1,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,5,1,20,False,0.5,0.1,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,6,1,25,False,0.3,0.1,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,7,1,30,False,0.3,0,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,8,1,35,False,0.3,0,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,9,1,40,False,0.3,0,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,10,1,45,False,1.6,0,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,11,2,1,False,1.4,0.2,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,12,2,5,False,1.2,0.2,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,13,2,10,False,1.9,0.5,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,14,2,15,False,0.7,0,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,15,2,20,False,1,0,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,16,2,25,False,0.9,0.1,,PIPO,,,,,,,,,,,,,
PIPO 31,01Year20,6/16/2024 12:56:58 PM,17,2,30,False,1.4,0.1,,PIPO,,,,,,,,,,,,,
