MacroPlot.Name,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPN 02,6/5/2024 1:14:48 PM,17,2,30,False,0.8,0.2,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,18,2,35,False,0.7,0.1,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,19,2,40,False,1.2,0.4,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,20,2,45,False,0.3,0,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,21,3,1,False,0.7,0,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,22,3,5,False,0.6,0.5,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,23,3,10,False,0.2,0.1,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,24,3,15,False,0.7,0.1,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,25,3,20,False,0.9,0,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,26,3,25,False,0.8,0,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,27,3,30,False,0.5,0.2,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,28,3,35,False,0.5,0.1,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,29,3,40,False,0.9,0.2,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,30,3,45,False,0.6,0,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,31,4,1,False,0.7,0.3,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,32,4,5,False,0.9,0.1,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,33,4,10,False,0.8,0.3,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,34,4,15,False,0.9,0.7,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,35,4,20,False,0.5,0,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,36,4,25,False,1.2,0.5,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,37,4,30,False,0.9,0.1,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,38,4,35,False,1.1,0.2,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,39,4,40,False,0.4,0.5,,PIPN,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,40,4,45,False,0.8,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,,,,,,,,,,,,,4,Brannfors,Gilmore,,,,,True,
PIPN 20,9/10/2024 3:04:26 PM,1,1,1,False,0.4,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,2,1,5,False,1.8,0.3,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,3,1,10,False,1.5,0.3,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,4,1,15,False,1.6,0.3,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,5,1,20,False,1.7,0.4,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,6,1,25,False,0.8,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,7,1,30,False,1.2,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,8,1,35,False,0.6,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,9,1,40,False,0.5,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,10,1,45,False,0.6,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,11,2,1,False,0.3,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,12,2,5,False,0.5,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,13,2,10,False,0.9,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,14,2,15,False,1,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,15,2,20,False,0.7,0.2,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,16,2,25,False,0.8,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,17,2,30,False,1.7,0.3,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,18,2,35,False,0.9,0.3,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,19,2,40,False,1.9,0.6,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,20,2,45,False,1.4,0.4,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,21,3,1,False,0.8,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,22,3,5,False,0.3,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,23,3,10,False,0.4,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,24,3,15,False,0.1,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,25,3,20,False,0.6,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,26,3,25,False,0.1,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,27,3,30,False,0.9,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,28,3,35,False,1,0.2,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,29,3,40,False,0.6,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,30,3,45,False,0.2,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,31,4,1,False,0.8,0.2,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,32,4,5,False,0.3,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,33,4,10,False,0.9,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,34,4,15,False,1,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,35,4,20,False,0.6,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,36,4,25,False,0.6,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,37,4,30,False,0.5,0,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,38,4,35,False,1,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,39,4,40,False,0.5,0.1,,PIPN,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,40,4,45,False,0.6,0,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,,,,,,,,,,,,,4,Tumicki,Gilmore,,,,,True,
PIPN 16,8/15/2024 3:10:25 PM,1,1,1,False,1.2,0.4,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,2,1,5,False,0.6,0.4,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,3,1,10,False,1.3,0.2,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,4,1,15,False,2.1,1.3,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,5,1,20,False,1.2,1.3,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,6,1,25,False,1.6,0,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,7,1,30,False,1.5,0.1,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,8,1,35,False,0.7,0.8,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,9,1,40,False,1,1.1,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,10,1,45,False,0.9,1.4,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,11,2,1,False,2.3,0.3,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,12,2,5,False,0.2,0,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,13,2,10,False,0.7,0.4,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,14,2,15,False,1.2,0.2,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,15,2,20,False,1.5,0.5,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,16,2,25,False,0.1,0.3,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,17,2,30,False,1.7,1,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,18,2,35,False,0.4,0.8,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,19,2,40,False,1.8,1.2,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,20,2,45,False,0.7,0,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,21,3,1,False,1.5,0.8,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,22,3,5,False,0.3,2,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,23,3,10,False,0.3,0,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,24,3,15,False,0.4,0.2,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,25,3,20,False,0.3,0,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,26,3,25,False,0.5,1.1,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,27,3,30,False,1.3,1.7,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,28,3,35,False,1.1,0.6,,PIPN,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,29,3,40,False,0.7,1,,PIPN,,,,,,,,,,,,,
